Started run at: 1713797821.54 seconds
Run folder: data/imagenet_hierarchy_k_0.5_256_22_04/v2-0_1trials_500_50_10_1keep_50_100_500_1000samples_256
Setting up dataset and prompts

Loading pretrained models...

Loading noise...

Tokenizing text prompts and creating embeddings...

Load subset to evaluate
Inference time: 128.18 seconds 

Inference time: 92.59 seconds 

Inference time: 172.36 seconds 

Inference time: 144.18 seconds 

Inference time: 130.18 seconds 

Inference time: 106.47 seconds 

Inference time: 146.07 seconds 

Inference time: 152.53 seconds 

Inference time: 112.79 seconds 

Inference time: 165.89 seconds 

Inference time: 114.93 seconds 

Inference time: 146.17 seconds 

Inference time: 173.11 seconds 

Inference time: 143.74 seconds 

Inference time: 164.58 seconds 

Inference time: 134.00 seconds 

Inference time: 114.27 seconds 

Inference time: 153.77 seconds 

Inference time: 121.55 seconds 

Inference time: 161.44 seconds 

Inference time: 138.34 seconds 

Inference time: 134.76 seconds 

Inference time: 134.70 seconds 

Inference time: 151.48 seconds 

Inference time: 167.55 seconds 

Inference time: 130.30 seconds 

Inference time: 146.77 seconds 

Inference time: 163.77 seconds 

Inference time: 131.42 seconds 

Inference time: 135.34 seconds 

Inference time: 95.33 seconds 

Inference time: 133.42 seconds 

Inference time: 137.40 seconds 

Inference time: 169.27 seconds 

Inference time: 138.43 seconds 

Inference time: 170.77 seconds 

Inference time: 154.28 seconds 

Inference time: 134.54 seconds 

Inference time: 157.38 seconds 

Inference time: 76.08 seconds 

Inference time: 150.09 seconds 

Inference time: 141.73 seconds 

Inference time: 137.72 seconds 

Inference time: 165.81 seconds 

Inference time: 118.06 seconds 

Inference time: 78.33 seconds 

Inference time: 155.72 seconds 

Inference time: 90.50 seconds 

Inference time: 161.13 seconds 

Inference time: 119.00 seconds 

Inference time: 136.44 seconds 

Inference time: 149.66 seconds 

Inference time: 72.66 seconds 

Inference time: 138.86 seconds 

Inference time: 153.11 seconds 

Inference time: 155.57 seconds 

Inference time: 93.79 seconds 

Inference time: 166.08 seconds 

Inference time: 152.73 seconds 

Inference time: 137.46 seconds 

Inference time: 175.04 seconds 

Inference time: 136.82 seconds 

Inference time: 96.35 seconds 

Inference time: 136.56 seconds 

Inference time: 141.13 seconds 

Inference time: 122.82 seconds 

Inference time: 137.88 seconds 

Inference time: 143.92 seconds 

Inference time: 150.06 seconds 

Inference time: 166.79 seconds 

Inference time: 143.14 seconds 

Inference time: 146.28 seconds 

Inference time: 118.40 seconds 

Inference time: 105.83 seconds 

Inference time: 160.69 seconds 

Inference time: 108.01 seconds 

Inference time: 182.13 seconds 

Inference time: 143.30 seconds 

Inference time: 109.65 seconds 

Inference time: 115.70 seconds 

Inference time: 101.54 seconds 

Inference time: 157.72 seconds 

Inference time: 121.94 seconds 

Inference time: 145.95 seconds 

Inference time: 124.34 seconds 

Inference time: 133.15 seconds 

Inference time: 142.88 seconds 

Inference time: 132.68 seconds 

Inference time: 161.13 seconds 

Inference time: 136.35 seconds 

Inference time: 99.96 seconds 

Inference time: 142.49 seconds 

Inference time: 141.23 seconds 

Inference time: 154.41 seconds 

Inference time: 172.62 seconds 

Inference time: 169.86 seconds 

Inference time: 117.55 seconds 

Inference time: 155.61 seconds 

Inference time: 144.67 seconds 

Inference time: 136.69 seconds 

Inference time: 93.04 seconds 

Inference time: 108.59 seconds 

Inference time: 153.49 seconds 

Inference time: 143.08 seconds 

Inference time: 98.21 seconds 

Inference time: 85.44 seconds 

Inference time: 149.40 seconds 

Inference time: 168.44 seconds 

Inference time: 112.38 seconds 

Inference time: 83.90 seconds 

Inference time: 142.75 seconds 

Inference time: 72.62 seconds 

Inference time: 163.82 seconds 

Inference time: 104.59 seconds 

Inference time: 168.93 seconds 

Inference time: 139.68 seconds 

Inference time: 111.20 seconds 

Inference time: 144.32 seconds 

Inference time: 137.26 seconds 

Inference time: 158.06 seconds 

Inference time: 125.42 seconds 

Inference time: 106.58 seconds 

Inference time: 64.90 seconds 

Inference time: 132.49 seconds 

Inference time: 152.74 seconds 

Inference time: 82.41 seconds 

Inference time: 71.61 seconds 

Inference time: 129.35 seconds 

Inference time: 128.90 seconds 

Inference time: 145.70 seconds 

Inference time: 153.13 seconds 

Inference time: 156.66 seconds 

Inference time: 170.14 seconds 

Inference time: 161.38 seconds 

Inference time: 148.94 seconds 

Inference time: 134.54 seconds 

Inference time: 162.35 seconds 

Inference time: 85.13 seconds 

Inference time: 137.33 seconds 

Inference time: 167.64 seconds 

Inference time: 155.96 seconds 

Inference time: 132.66 seconds 

Inference time: 128.43 seconds 

Inference time: 151.74 seconds 

Inference time: 132.53 seconds 

Inference time: 124.60 seconds 

Inference time: 64.95 seconds 

Inference time: 80.57 seconds 

Inference time: 157.95 seconds 

Inference time: 180.49 seconds 

Inference time: 134.58 seconds 

Inference time: 150.77 seconds 

Inference time: 157.10 seconds 

Inference time: 138.03 seconds 

Inference time: 135.42 seconds 

Inference time: 169.32 seconds 

Inference time: 141.80 seconds 

Inference time: 155.68 seconds 

Inference time: 92.02 seconds 

Inference time: 148.62 seconds 

Inference time: 141.41 seconds 

Inference time: 150.31 seconds 

Inference time: 165.61 seconds 

Inference time: 132.86 seconds 

Inference time: 160.53 seconds 

Inference time: 113.07 seconds 

Inference time: 144.12 seconds 

Inference time: 138.01 seconds 

Inference time: 77.34 seconds 

Inference time: 132.58 seconds 

Inference time: 159.53 seconds 

Inference time: 116.45 seconds 

Inference time: 141.67 seconds 

Inference time: 147.83 seconds 

Inference time: 152.30 seconds 

Inference time: 129.22 seconds 

Inference time: 139.57 seconds 

Inference time: 145.47 seconds 

Inference time: 161.39 seconds 

Inference time: 136.08 seconds 

Inference time: 161.62 seconds 

Inference time: 127.45 seconds 

Inference time: 166.87 seconds 

Inference time: 152.21 seconds 

Inference time: 156.66 seconds 

Inference time: 158.74 seconds 

Inference time: 142.33 seconds 

Inference time: 154.88 seconds 

Inference time: 182.70 seconds 

Inference time: 156.65 seconds 

Inference time: 123.07 seconds 

Inference time: 158.57 seconds 

Inference time: 186.27 seconds 

Inference time: 140.99 seconds 

Inference time: 108.84 seconds 

Inference time: 169.37 seconds 

Inference time: 152.50 seconds 

Inference time: 137.61 seconds 

Inference time: 108.27 seconds 

Inference time: 172.99 seconds 

Inference time: 115.13 seconds 

Inference time: 155.97 seconds 

Inference time: 151.27 seconds 

Inference time: 132.15 seconds 

Inference time: 155.53 seconds 

Inference time: 155.78 seconds 

Inference time: 158.71 seconds 

Inference time: 136.52 seconds 

Inference time: 146.26 seconds 

Inference time: 143.17 seconds 

Inference time: 150.57 seconds 

Inference time: 78.16 seconds 

Inference time: 111.02 seconds 

Inference time: 144.97 seconds 

Inference time: 136.10 seconds 

Inference time: 121.02 seconds 

Inference time: 136.09 seconds 

Inference time: 137.21 seconds 

Inference time: 106.17 seconds 

Inference time: 150.05 seconds 

Inference time: 136.71 seconds 

Inference time: 136.35 seconds 

Inference time: 129.05 seconds 

Inference time: 140.73 seconds 

Inference time: 89.52 seconds 

Inference time: 104.76 seconds 

Inference time: 165.13 seconds 

Inference time: 149.82 seconds 

Inference time: 145.61 seconds 

Inference time: 130.91 seconds 

Inference time: 80.22 seconds 

Inference time: 119.83 seconds 

Inference time: 93.36 seconds 

Inference time: 147.09 seconds 

Inference time: 162.88 seconds 

Inference time: 183.78 seconds 

Inference time: 150.63 seconds 

Inference time: 162.18 seconds 

Inference time: 154.15 seconds 

Inference time: 119.00 seconds 

Inference time: 108.43 seconds 

Inference time: 142.52 seconds 

Inference time: 131.16 seconds 

Inference time: 132.13 seconds 

Inference time: 146.89 seconds 

Inference time: 154.62 seconds 

Inference time: 90.35 seconds 

Inference time: 135.17 seconds 

Inference time: 138.96 seconds 

Inference time: 160.08 seconds 

Inference time: 157.88 seconds 

Inference time: 145.09 seconds 

Inference time: 115.75 seconds 

Inference time: 73.31 seconds 

Inference time: 108.64 seconds 

Inference time: 117.36 seconds 

Inference time: 134.90 seconds 

Inference time: 141.12 seconds 

Inference time: 147.72 seconds 

Inference time: 84.67 seconds 

Inference time: 142.33 seconds 

Inference time: 80.25 seconds 

Inference time: 89.98 seconds 

Inference time: 129.61 seconds 

Inference time: 109.89 seconds 

Inference time: 101.19 seconds 

Inference time: 135.78 seconds 

Inference time: 132.35 seconds 

Inference time: 103.18 seconds 

Inference time: 139.16 seconds 

Inference time: 102.69 seconds 

Inference time: 134.05 seconds 

Inference time: 78.16 seconds 

Inference time: 90.91 seconds 

Inference time: 121.34 seconds 

Inference time: 130.10 seconds 

Inference time: 109.71 seconds 

Inference time: 103.17 seconds 

Inference time: 136.05 seconds 

Inference time: 168.82 seconds 

Inference time: 148.34 seconds 

Inference time: 128.84 seconds 

