Started run at: 1713797821.54 seconds
Run folder: data/imagenet_hierarchy_k_0.5_256_22_04/v2-0_1trials_500_50_10_1keep_50_100_500_1000samples_256
Setting up dataset and prompts

Loading pretrained models...

Loading noise...

Tokenizing text prompts and creating embeddings...

Load subset to evaluate
Inference time: 146.53 seconds 

Inference time: 123.27 seconds 

Inference time: 105.09 seconds 

Inference time: 147.00 seconds 

Inference time: 152.88 seconds 

Inference time: 104.80 seconds 

Inference time: 132.42 seconds 

Inference time: 105.35 seconds 

Inference time: 122.85 seconds 

Inference time: 161.11 seconds 

Inference time: 133.12 seconds 

Inference time: 120.13 seconds 

Inference time: 139.87 seconds 

Inference time: 136.51 seconds 

Inference time: 124.78 seconds 

Inference time: 133.22 seconds 

Inference time: 145.79 seconds 

Inference time: 148.25 seconds 

Inference time: 140.13 seconds 

Inference time: 163.17 seconds 

Inference time: 140.56 seconds 

Inference time: 148.84 seconds 

Inference time: 149.22 seconds 

Inference time: 160.69 seconds 

Inference time: 131.65 seconds 

Inference time: 67.33 seconds 

Inference time: 162.25 seconds 

Inference time: 134.25 seconds 

Inference time: 165.04 seconds 

Inference time: 136.24 seconds 

Inference time: 169.89 seconds 

Inference time: 140.88 seconds 

Inference time: 166.98 seconds 

Inference time: 133.86 seconds 

Inference time: 144.38 seconds 

Inference time: 142.71 seconds 

Inference time: 158.26 seconds 

Inference time: 130.69 seconds 

Inference time: 113.97 seconds 

Inference time: 148.73 seconds 

Inference time: 132.53 seconds 

Inference time: 136.69 seconds 

Inference time: 123.39 seconds 

